Account,Token Account,Quantity,Percentage
cJ8iRrxaCnWnSbyFsezoi3RUUDVnYZjJoiVoTFQVGg4,29tXCQVrmrhskAdQt1GTFWH19LPK1Ns2Y5bqGdw3HjA6,272248.002975119,26.35
EYZoYNewKXHrNTce5WRj76p38DcRrQ7cUiyEoFbrHnXq,7bGk1WrS8BhtpSed1N2caY8CMu4dpQdDnRtMRdKrtaQR,176660.296483862,17.10
8BKFsRgM17zmH54shirWopoQHJaZgPPAFhQm3dbc1pQE,C3Q6CdKqckBhrLRk24p2MutSpYVmpBMLbBQnsqfcE3Py,152994.65536643,14.81
8Z5Xm3Luw9SiKtw4LUvgJ846RZ7bpAaiwyFPAHpvCUiD,DMVQPrQuseH6QWLStmCC9qxpvGTvWirRQr6XDNQaYgBA,98734.940860191,9.56
GTwpMzUB2waGHFsbLz2T5YiqbNWDUrZ8P9tSVb1wBqyN,ATaV1Dzbhb6Me4QqTBwDx2nrfVpSiY2FFq7K1CAfibYV,52693.388651265,5.10
FyJHGX45ZxrSMcp41FYgPmW1ubvrZeF4adKYs1PAJwH8,7gci4mRaupQNSkx685a8kteRByDy1habhxzKBAdwNpmm,48143.366195659,4.66
vFZ85G7Zj9PPZFKQ9ohQHiTJEX3wAjzAnLThTbP9H2d,AzFKjWQZEkBC4o5b7nZDiUhS67iBR7JiHg8DoHEiKNv6,27134.250837226,2.63
AU1CuaBo5C1AsbmH82hx95DvFgbDBAEE3EcPfJMPqmME,4GqrT1jgBN1zdKHxbQ1K9axrQSJoK7XB9sTXV2LtXGjX,23777.606931533,2.30
4PL6nWVY1fWd6bhutf4YFA4LCWtTjSQXoJWnJkQ6Fgq9,JDSXpQC42T57TiW3MkekZd6mrgPrsAu4mwK9kQVp8uLU,19961.020949392,1.93
FLFyrahpmdpgaYtdbWEM8UgNsUnfQutZgoVCYHnJLURn,GdADEUckjkTYhhncxVm131BguZKbhnsYpeZt2iBn4zpj,18292.04210929,1.77
